#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.35167     1.35167           0
           2       1.375     1.36333  0.00824602
           3     1.33601     1.35423  0.00924743
           4     1.30384     1.34163    0.012927
           5     1.35345     1.34399   0.0105555
           6     1.35444     1.34573  0.00893861
           7     1.34391     1.34547  0.00766548
           8     1.32999     1.34354  0.00694723
           9     1.34228      1.3434  0.00617671
          10     1.33485     1.34254  0.00561786
          11     1.31284     1.33984  0.00571943
          12     1.33718     1.33962  0.00524714
          13     1.33389     1.33918  0.00486199
          14     1.35418     1.34025  0.00463123
          15      1.3553     1.34126  0.00442983
          16     1.31858     1.33984  0.00437384
          17     1.27543     1.33605  0.00551858
          18     1.28637     1.33329  0.00586162
          19      1.3208     1.33263  0.00558988
          20     1.31671     1.33184   0.0053668
          21     1.32747     1.33163  0.00511526
          22     1.33801     1.33192  0.00489096
          23     1.33123     1.33189   0.0046784
          24       1.351     1.33268  0.00455074
          25     1.32058      1.3322  0.00439439
          26      1.3067     1.33122  0.00433346
          27     1.29541     1.32989  0.00437125
          28     1.30926     1.32916  0.00427679
          29     1.33843     1.32948  0.00414124
          30     1.31655     1.32905  0.00402556
