#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59679     1.59679           0
           2     1.59691     1.59685 4.30765e-05
           3     1.59686     1.59685 2.87654e-05
           4     1.59696     1.59688 3.14583e-05
           5     1.59695     1.59689 2.81197e-05
           6     1.59687     1.59689 2.37204e-05
           7     1.59696      1.5969 2.25064e-05
           8     1.59697     1.59691 2.12273e-05
           9     1.59683      1.5969 2.04815e-05
          10     1.59685      1.5969  1.9115e-05
          11     1.59698      1.5969  1.8696e-05
          12     1.59696     1.59691 1.76633e-05
          13     1.59698     1.59691 1.72098e-05
          14     1.59702     1.59692 1.74822e-05
          15     1.59679     1.59691 1.83106e-05
          16     1.59687     1.59691 1.73592e-05
          17     1.59702     1.59692 1.74744e-05
          18     1.59698     1.59692 1.68161e-05
          19     1.59689     1.59692 1.59972e-05
          20     1.59695     1.59692 1.52627e-05
          21     1.59694     1.59692 1.45596e-05
          22     1.59683     1.59692  1.4434e-05
          23     1.59693     1.59692 1.38138e-05
          24     1.59701     1.59692 1.37494e-05
          25     1.59708     1.59693 1.45465e-05
          26     1.59706     1.59693 1.48901e-05
          27       1.597     1.59693  1.4525e-05
          28     1.59695     1.59693 1.40148e-05
          29     1.59691     1.59693  1.3561e-05
          30     1.59697     1.59694 1.31702e-05
