#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.02751     2.02751           0
           2     2.06249       2.045    0.012369
           3     2.00402     2.03134   0.0138711
           4     1.95576     2.01245   0.0193904
           5     2.03017     2.01599   0.0158332
           6     2.03166      2.0186   0.0134079
           7     2.01586     2.01821   0.0114982
           8     1.99499     2.01531   0.0104208
           9     2.01343      2.0151  0.00926507
          10     2.00228     2.01382   0.0084268
          11     1.96926     2.00977  0.00857915
          12     2.00576     2.00943  0.00787071
          13     2.00084     2.00877  0.00729298
          14     2.03127     2.01038  0.00694684
          15     2.03295     2.01188  0.00664474
          16     1.97787     2.00976  0.00656075
          17     1.91315     2.00407  0.00827786
          18     1.92956     1.99994  0.00879244
          19      1.9812     1.99895  0.00838481
          20     1.97506     1.99775   0.0080502
          21     1.99121     1.99744  0.00767289
          22     2.00701     1.99788  0.00733644
          23     1.99684     1.99783  0.00701761
          24      2.0265     1.99903   0.0068261
          25     1.98087      1.9983  0.00659159
          26     1.96005     1.99683  0.00650019
          27     1.94311     1.99484  0.00655687
          28     1.96389     1.99373  0.00641518
          29     2.00764     1.99421  0.00621187
          30     1.97482     1.99357  0.00603835
