#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.430717   -0.430717           0
           2    -0.46558   -0.448148    0.012326
           3    -0.40716   -0.434486   0.0138554
           4   -0.358801   -0.415564   0.0194035
           5   -0.433223   -0.419096   0.0158409
           6   -0.434787   -0.421711   0.0134149
           7   -0.418897   -0.421309   0.0115045
           8   -0.398021   -0.418398   0.0104282
           9   -0.416592   -0.418198  0.00927145
          10   -0.405431   -0.416921  0.00843175
          11   -0.372286   -0.412863  0.00858628
          12   -0.408806   -0.412525  0.00787741
          13   -0.403856   -0.411858  0.00729963
          14   -0.434253   -0.413458  0.00695128
          15   -0.436162   -0.414971  0.00665061
          16   -0.380998   -0.412848  0.00656517
          17   -0.316132   -0.407159  0.00828509
          18   -0.332582   -0.403016  0.00879998
          19   -0.384304   -0.402031  0.00839175
          20   -0.378112   -0.400835  0.00805693
          21   -0.394273   -0.400523  0.00767932
          22   -0.410181   -0.400962   0.0073428
          23   -0.399916   -0.400916  0.00702369
          24   -0.429492   -0.402107  0.00683121
          25   -0.383792   -0.401374  0.00659712
          26   -0.362986   -0.399898  0.00650651
          27   -0.346114   -0.397906  0.00656338
          28   -0.366944     -0.3968  0.00642145
          29   -0.410733    -0.39728  0.00621797
          30   -0.377848   -0.396633  0.00604434
