1 2 12 3 21 9 7 19 25 4 15 23 13 33 17 31 5 11 22 20 32 24 10 29 30 28 6 27 34 18 26 8 14 16 
1 32 13 12 17 34 16 8 24 10 14 7 9 19 4 6 5 28 2 20 25 26 21 3 15 30 33 23 27 22 18 29 31 11 
1 17 25 4 2 22 10 23 33 27 19 30 3 31 20 15 9 34 24 14 12 8 21 11 7 5 13 26 16 28 6 32 18 29 
1 4 7 32 19 16 33 31 12 6 18 30 2 22 24 29 9 17 23 14 8 15 13 26 28 21 34 25 27 3 11 10 20 5 
1 25 18 24 27 4 3 34 5 16 20 31 9 14 33 12 8 21 11 7 17 19 30 22 13 2 26 15 10 28 23 6 32 29 
1 29 24 4 22 3 34 5 25 31 20 15 9 14 33 27 12 16 11 19 6 8 13 2 21 10 23 26 32 7 17 30 28 18 
1 25 29 24 27 4 3 34 5 31 20 15 9 14 33 12 8 21 11 7 17 19 30 22 16 18 2 26 32 10 23 13 28 6 
1 29 24 4 3 34 5 25 31 20 15 28 11 17 9 16 26 32 10 23 13 2 12 7 33 19 22 30 18 6 8 21 27 14 
1 29 24 4 3 34 5 25 31 20 15 28 11 17 18 22 9 16 26 32 10 23 13 2 12 7 33 19 30 6 8 21 27 14 
1 29 24 4 3 34 5 25 6 20 15 28 11 17 9 16 26 32 10 23 13 2 12 7 33 19 14 31 8 21 22 30 27 18 
1 4 25 5 29 24 22 3 34 18 31 20 15 30 28 11 17 9 16 26 32 10 23 13 2 12 7 33 19 6 8 21 27 14 
1 29 24 4 3 34 5 25 18 22 31 20 7 12 15 28 11 17 9 16 26 32 10 23 13 2 33 19 14 6 8 21 30 27 
1 31 25 5 34 3 24 29 4 14 21 8 6 30 22 19 33 7 28 15 10 18 20 11 17 9 16 26 32 23 13 2 12 27 
1 29 4 34 30 22 24 18 25 14 27 21 5 31 20 15 28 11 17 9 16 26 32 10 23 13 2 12 7 33 19 3 6 8 
1 29 4 25 18 24 22 30 34 14 27 21 8 6 3 19 33 7 12 2 13 23 10 32 26 16 9 17 11 28 15 20 31 5 
1 34 30 22 24 29 32 25 4 14 27 21 3 18 5 31 20 26 16 17 9 11 28 15 10 23 13 2 12 7 33 19 8 6 
1 29 34 30 22 24 18 25 4 5 31 20 15 28 11 17 9 16 26 3 27 32 10 21 8 6 23 13 2 12 7 33 19 14 
1 34 30 22 24 29 18 12 2 13 23 6 8 21 10 26 32 27 3 9 17 11 16 28 15 20 31 5 4 25 7 33 19 14 
1 4 25 34 29 30 22 24 18 5 31 20 15 17 11 28 9 16 3 27 32 26 10 21 8 6 23 13 14 2 12 7 33 19 
