-3 7.26995e-06
-2.9 2.08104e-05
-2.8 5.67254e-05
-2.7 0.000147238
-2.6 0.000363926
-2.5 0.000856553
-2.4 0.00191977
-2.3 0.0040973
-2.2 0.00832738
-2.1 0.0161172
-2 0.0297063
-1.9 0.0521444
-1.8 0.0871744
-1.7 0.138814
-1.6 0.210567
-1.5 0.304333
-1.4 0.419206
-1.3 0.55056
-1.2 0.689832
-1.1 0.82533
-1 0.944102
-0.9 1.0345
-0.8 1.08873
-0.7 1.10468
-0.6 1.08627
-0.5 1.04242
-0.4 0.984935
-0.3 0.925989
-0.2 0.876154
-0.1 0.843192
1.52656e-15 0.831704
0.1 0.843192
0.2 0.876154
0.3 0.925989
0.4 0.984935
0.5 1.04242
0.6 1.08627
0.7 1.10468
0.8 1.08873
0.9 1.0345
1 0.944102
1.1 0.82533
1.2 0.689832
1.3 0.55056
1.4 0.419206
1.5 0.304333
1.6 0.210567
1.7 0.138814
1.8 0.0871744
1.9 0.0521444
2 0.0297063
2.1 0.0161172
2.2 0.00832738
2.3 0.0040973
2.4 0.00191977
2.5 0.000856553
2.6 0.000363926
2.7 0.000147238
2.8 5.67254e-05
2.9 2.08104e-05
