#Step:       Beta:       mu:       sigma:
179             2.99161           -0.727064            0.748137
180             3.02183            -0.14034              1.0851
181             3.05235           -0.696658             0.72987
182             3.08319           -0.700289             1.02945
183             3.11433           -0.917261             0.52001
184             3.14579           0.0353156            0.912183
185             3.17756           -0.359852            0.928863
186             3.20966            0.867812            0.611742
187             3.24208            0.601283            0.836598
188             3.27483            0.298835             0.99934
189             3.30791            0.942116            0.499547
190             3.34132            0.712937            0.563312
191             3.37507            0.772918            0.504474
192             3.40916             0.80866            0.706454
193              3.4436            0.678847            0.880556
194             3.47838            0.184783            0.906806
195             3.51352            0.822894            0.558339
196             3.54901            -0.26372             1.04411
197             3.58486            -1.05452            0.521782
198             3.62107            0.468554            0.993192
199             3.65764          -0.0785398             1.05787
200             3.69459           -0.608746            0.785991
201             3.73191            0.439836            0.818714
202             3.76961            0.513739            0.948564
203             3.80768            0.631908            0.734376
204             3.84614           -0.560364            0.583872
205             3.88499            0.676867            0.522721
206             3.92424            0.674915            0.725264
207             3.96387             0.89001            0.589715
208             4.00391            0.286151             1.30698
209             4.04436            0.452702            0.546801
210             4.08521           -0.213227             0.83667
211             4.12647           -0.634984            0.617085
212             4.16816           -0.669668            0.623379
213             4.21026           -0.739077            0.570636
214             4.25279             0.93854            0.532268
215             4.29574            0.427106            0.785468
216             4.33914            0.641702             0.76978
217             4.38296             0.30672             1.16269
218             4.42724            0.958346            0.487871
219             4.47196            0.856416            0.544901
220             4.51713            0.758269            0.700329
221             4.56276             1.05065            0.538127
222             4.60884            0.350646            0.952284
223              4.6554            0.694953             1.03951
224             4.70242             1.28778             0.46424
225             4.74992            0.528265            0.823504
226              4.7979            0.274673             0.92978
227             4.84636            0.583266            0.995296
228             4.89532             0.45208            0.967948
229             4.94476           0.0793023            0.906808
230             4.99471           -0.941712            0.592335
231             5.04516           -0.446316            0.541315
232             5.09612           -0.922364            0.466967
233              5.1476           -0.077381             1.12451
234              5.1996           -0.609766            0.451175
235             5.25212           -0.434455             1.37212
236             5.30517            0.795204            0.616414
237             5.35876            0.302609            0.641458
238             5.41289            0.610223            0.686458
239             5.46756             0.65951            0.464244
240             5.52279            0.422884            0.897295
241             5.57858            0.238435            0.713231
242             5.63492            0.779359            0.613525
243             5.69184             0.45174             0.63487
244             5.74934             0.41967            0.539658
245             5.80741            0.754799             0.69452
246             5.86607           -0.528099            0.627918
247             5.92532           -0.706137            0.628634
248             5.98518           -0.733965            0.861591
249             6.04563           -0.484726            0.821709
250              6.1067           -0.809315            0.601316
251             6.16838           -0.916166            0.489141
252             6.23069           -0.335131             1.13456
253             6.29363           -0.657086            0.684784
254              6.3572           -0.624488            0.962123
255             6.42141           -0.314267            0.880924
256             6.48628           -0.399725            0.833982
257             6.55179           -0.791321            0.729962
258             6.61797           -0.418828            0.903794
259             6.68482            0.764792            0.586162
260             6.75234             0.91619            0.658961
261             6.82055            -0.75246            0.669451
262             6.88944           -0.831587             0.74915
263             6.95903           -0.117068             0.86592
264             7.02933           0.0195658             1.05111
265             7.10033            0.803914            0.646202
266             7.17205            0.854593            0.618938
267              7.2445            0.618782            0.810063
268             7.31767            0.155953             1.08769
269             7.39159            -0.41028            0.856333
270             7.46625           -0.830876            0.664336
271             7.54167           -0.558886             0.90188
272             7.61785           -0.987106            0.569219
273              7.6948          -0.0477052             0.85952
274             7.77252           -0.972385            0.693623
275             7.85103           -0.577858            0.704021
276             7.93033            0.832651            0.736081
277             8.01044            0.834293            0.737429
278             8.09135            0.828182            0.655086
279             8.17308            0.281983             1.02432
280             8.25564           -0.621248            0.937893
281             8.33903           -0.926632            0.585851
282             8.42326            -0.75476            0.624101
283             8.50835           0.0152354            0.996971
284             8.59429           -0.628294            0.449576
285              8.6811           -0.730174            0.586989
286             8.76879           -0.909652            0.536413
287             8.85736           -0.665401            0.647749
288             8.94683           -0.677579            0.827238
289              9.0372           -0.728524            0.513141
290             9.12849           -0.607038            0.784518
291             9.22069            0.113727            0.969304
292             9.31383            0.484975             0.89932
293             9.40791            0.555237            0.762415
294             9.50294            0.515698            0.688968
295             9.59893             1.08861            0.681269
296             9.69589            0.218349            0.777882
297             9.79383            0.872174            0.641421
298             9.89275            0.613832            0.792654
299             9.99268            0.329538             1.13905
300             10.0936           0.0996729             1.19709
301             10.1956           -0.080973             1.10192
302             10.2986            0.600011            0.641163
303             10.4026            0.748687            0.512909
304             10.5077            0.744566            0.612524
305             10.6138            0.954558            0.593732
306              10.721            0.471355            0.899597
307             10.8293            0.471932            0.791873
308             10.9387             0.11277            0.869047
309             11.0492           -0.109812            0.934193
310             11.1608           0.0898875             1.13434
311             11.2735            0.254963             1.02562
312             11.3874            0.102829            0.834179
313             11.5024           -0.206055             0.81806
314             11.6186           -0.538228            0.680433
315              11.736           -0.974327             0.54008
316             11.8545           -0.791084            0.617944
317             11.9743           -0.537917            0.772957
318             12.0952            -0.72645            0.595185
319             12.2174           -0.530946            0.726788
320             12.3408           -0.896538            0.601706
321             12.4654           -0.831835            0.570474
322             12.5914           -0.547767            0.752528
323             12.7185            -0.59746            0.648347
324              12.847           -0.559223            0.666631
325             12.9768           -0.427704            0.890947
326             13.1079           -0.785084            0.485584
327             13.2403           -0.710424            0.565253
328              13.374           -0.689828             0.54891
329             13.5091           -0.624176            0.700427
330             13.6455           -0.740315            0.731119
331             13.7834           -0.589626            0.698312
332             13.9226           -0.817419            0.724275
333             14.0632           -0.791157            0.565517
334             14.2053           -0.776502            0.619052
335             14.3488           -0.760019            0.649549
336             14.4937           -0.710686            0.636397
337             14.6401           -0.868944            0.749612
338              14.788           -0.712403            0.589169
339             14.9374            -0.78232            0.753056
340             15.0883           -0.938688             0.62831
341             15.2407           -0.615232              0.5172
342             15.3946           -0.556338            0.734436
343             15.5501           -0.713654            0.746455
344             15.7072           -0.634624            0.755135
345             15.8658           -0.691017            0.700353
346             16.0261             -0.6691              0.7026
347              16.188           -0.418093            0.855191
348             16.3515           -0.228012              1.0179
349             16.5167             -0.8163            0.580063
350             16.6835           -0.768924            0.597413
351              16.852           -0.846405            0.545388
352             17.0222           -0.829671            0.606541
353             17.1942           -0.709464            0.578265
354             17.3679            -0.85879            0.567166
355             17.5433            -0.81392            0.637204
356             17.7205           -0.661897            0.685463
357             17.8995           -0.752451            0.641427
358             18.0803           -0.817426            0.562929
359             18.2629            -0.90383            0.618485
360             18.4474           -0.802476            0.658538
361             18.6337           -0.857241            0.660902
362              18.822           -0.836597             0.63891
363             19.0121           -0.925186            0.625153
364             19.2041           -0.672622            0.557053
365             19.3981            -0.78757             0.64197
366              19.594           -0.723517            0.792971
367              19.792           -0.718703            0.612822
368             19.9919           -0.761367            0.586279
369             20.1938           -0.574222            0.666838
370             20.3978            -0.41639            0.953414
371             20.6038           -0.663078            0.862928
372              20.812           -0.801163            0.617764
373             21.0222           -0.916318            0.596673
374             21.2345           -0.692096            0.591566
375              21.449           -0.666597            0.642245
376             21.6657           -0.822118            0.614039
377             21.8845           -0.751989             0.66139
378             22.1056           -0.665721            0.659183
379             22.3289           -0.774033            0.611908
380             22.5544           -0.552433            0.852096
381             22.7822           -0.577198            0.986345
382             23.0123           -0.699937            0.841931
383             23.2448           -0.949988            0.604508
384             23.4796           -0.781082            0.600624
385             23.7168           -0.916217            0.579934
386             23.9563           -0.664835             0.55515
387             24.1983           -0.690306            0.571155
388             24.4427           -0.675173            0.609262
389             24.6896           -0.809082            0.590956
390              24.939           -0.794802            0.655742
391             25.1909           -0.790134            0.525608
392             25.4454            -0.83317            0.632926
393             25.7024           -0.863078            0.631905
394              25.962           -0.718178            0.686076
395             26.2243           -0.782951            0.676837
396             26.4892           -0.852086            0.687789
397             26.7567           -0.719199            0.700905
398              27.027           -0.822336            0.687321
399                27.3           -0.798172            0.629814
400             27.5758           -0.742565            0.590609
401             27.8543           -0.800132            0.681838
402             28.1357            -0.63611            0.596395
403             28.4198           -0.852332            0.589557
404             28.7069           -0.837372            0.598175
405             28.9969           -0.618382            0.705851
406             29.2898           -0.666899            0.741093
407             29.5856           -0.877533            0.726142
408             29.8845           -0.823301            0.565064
409             30.1864           -0.757462             0.63902
410             30.4913           -0.865061             0.62557
411             30.7993           -0.763956            0.665263
412             31.1104           -0.878068            0.584777
413             31.4246           -0.648623             0.66984
414              31.742           -0.822501            0.632471
415             32.0627           -0.797608            0.556397
416             32.3865           -0.820103            0.579778
417             32.7137           -0.730283            0.676761
418             33.0441           -0.718277            0.704578
419             33.3779           -0.747392            0.614703
420              33.715           -0.660499             0.68221
421             34.0556            -0.75707            0.608538
422             34.3996           -0.874744            0.683425
423              34.747           -0.774326            0.609856
424              35.098           -0.824552            0.602083
425             35.4526           -0.795205            0.637815
426             35.8107           -0.619184            0.666939
427             36.1724           -0.777774            0.645292
428             36.5378           -0.705407            0.730349
429             36.9068           -0.801899            0.647958
430             37.2796           -0.881646            0.596716
431             37.6562           -0.702613            0.717572
432             38.0366           -0.915743            0.646559
433             38.4208           -0.896825            0.571839
434             38.8088           -0.823094            0.658831
435             39.2009             -0.7615            0.717356
436             39.5968           -0.821421            0.607329
437             39.9968           -0.701584            0.598346
438             40.4008           -0.733317            0.568259
439             40.8089           -0.854968            0.713141
440             41.2211           -0.735739            0.658327
441             41.6375           -0.858753            0.587421
442             42.0581           -0.681849            0.643071
443             42.4829           -0.815234            0.615833
444              42.912           -0.710121            0.549361
445             43.3455           -0.773479            0.667193
446             43.7833            -0.79014             0.62793
447             44.2255           -0.762455            0.652026
448             44.6723           -0.820736            0.563673
449             45.1235           -0.714043             0.59525
450             45.5793           -0.738499            0.615021
451             46.0397           -0.711563            0.673181
452             46.5047           -0.812842             0.60435
453             46.9745           -0.862747            0.626286
454              47.449           -0.849637            0.648987
455             47.9283           -0.898755            0.626431
456             48.4124           -0.776664             0.57169
457             48.9014           -0.819978            0.584306
458             49.3954           -0.703848            0.648655
459             49.8943           -0.707064            0.656305
460             50.3983           -0.780052             0.68495
461             50.9073            -0.81505            0.539694
462             51.4216           -0.767926            0.585437
463              51.941           -0.840291            0.662327
464             52.4656           -0.809719            0.632336
465             52.9956           -0.811276            0.579921
466             53.5309           -0.803858            0.640522
467             54.0716            -0.83635            0.649681
468             54.6178           -0.815779            0.622441
469             55.1695           -0.728335            0.649325
470             55.7268           -0.790586            0.654681
471             56.2896           -0.788953            0.571952
472             56.8582           -0.737513            0.619571
473             57.4326           -0.911474            0.667308
474             58.0127           -0.830133             0.65581
475             58.5987           -0.747228            0.619886
476             59.1906           -0.804218            0.576969
477             59.7885           -0.764981            0.657961
478             60.3924           -0.817368            0.603863
479             61.0024           -0.795833            0.597758
480             61.6186           -0.730173            0.588189
481              62.241           -0.876234            0.602225
482             62.8697           -0.828126            0.626706
483             63.5047           -0.902314            0.615043
484             64.1462           -0.770572            0.604534
485             64.7942           -0.792965            0.723183
486             65.4486           -0.792347            0.576719
487             66.1097           -0.728112            0.655374
488             66.7775           -0.755651            0.687242
489              67.452           -0.839812             0.64496
490             68.1334           -0.837386            0.574723
491             68.8216           -0.791284            0.642731
492             69.5167           -0.794023            0.615789
