#Step:       Beta:       E_tot:       Err:
170             2.73289           -0.233939          0.00618957
171             2.76049           0.0492598           0.0244005
172             2.78838            -0.23391          0.00403786
173             2.81654          -0.0319582          0.00570604
174             2.84499           -0.350836          0.00466689
175             2.87373            0.245404           0.0079149
176             2.90276           -0.247027          0.00858064
177             2.93208           -0.386515          0.00582193
178              2.9617          -0.0237204           0.0190012
179             2.99161           -0.336095          0.00360746
180             3.02183           -0.214164           0.0136256
181             3.05235           -0.298895          0.00370621
182             3.08319           -0.200269           0.0132112
183             3.11433           -0.420032          0.00355327
184             3.14579           -0.216386            0.010471
185             3.17756           -0.228755           0.0045798
186             3.20966           -0.425577          0.00309324
187             3.24208           -0.170078           0.0130997
188             3.27483           -0.168067          0.00484779
189             3.30791           -0.210738          0.00506405
190             3.34132              -0.416          0.00349665
191             3.37507           -0.302424          0.00349745
192             3.40916           -0.363282           0.0032533
193              3.4436          -0.0479929           0.0245234
194             3.47838           -0.233475          0.00640162
195             3.51352           -0.411718          0.00246482
196             3.54901           -0.247592           0.0101344
197             3.58486            0.530235           0.0185764
198             3.62107            -0.21077          0.00940872
199             3.65764            -0.23981          0.00514319
200             3.69459           -0.435929          0.00270051
201             3.73191           -0.141844           0.0142772
202             3.76961           -0.230046           0.0116927
203             3.80768           -0.282296          0.00352803
204             3.84614           -0.438373          0.00314593
205             3.88499           -0.364564           0.0029515
206             3.92424           -0.260227           0.0112036
207             3.96387           -0.120883           0.0126903
208             4.00391           0.0985375           0.0246739
209             4.04436          -0.0408413          0.00615013
210             4.08521           -0.245101          0.00683622
211             4.12647           -0.354582          0.00274322
212             4.16816           0.0145541          0.00581121
213             4.21026           -0.412911          0.00298666
214             4.25279           -0.294352          0.00393684
215             4.29574          -0.0359364           0.0061487
216             4.33914           -0.325764          0.00620048
217             4.38296            0.353048           0.0272267
218             4.42724           -0.146452          0.00526759
219             4.47196           -0.381591          0.00416169
220             4.51713           -0.402374          0.00485117
221             4.56276           -0.203452          0.00800321
222             4.60884           -0.170583           0.0135125
223              4.6554           -0.266974          0.00820296
224             4.70242            0.140752          0.00909686
225             4.74992           -0.294633          0.00379536
226              4.7979           -0.196561          0.00478376
227             4.84636           -0.151275           0.0144469
228             4.89532           -0.217869          0.00457535
229             4.94476           -0.229432          0.00796016
230             4.99471             -0.3571          0.00379058
231             5.04516            -0.28709          0.00393817
232             5.09612           -0.434785          0.00275734
233              5.1476           -0.174898           0.0122241
234              5.1996           -0.124544           0.0055901
235             5.25212             1.22614           0.0576968
236             5.30517           -0.371342          0.00602117
237             5.35876           0.0182202          0.00484071
238             5.41289           -0.340053           0.0037898
239             5.46756           -0.168698          0.00824717
240             5.52279           -0.277378          0.00637381
241             5.57858          -0.0347687          0.00625777
242             5.63492           -0.443374           0.0020647
243             5.69184           -0.138082           0.0053169
244             5.74934           0.0230285          0.00581685
245             5.80741           -0.409989          0.00379214
246             5.86607           -0.230563          0.00391149
247             5.92532           -0.414051          0.00240049
248             5.98518           -0.144593           0.0133099
249             6.04563           -0.235786          0.00581949
250              6.1067           -0.339194          0.00378198
251             6.16838           -0.186472           0.0056377
252             6.23069           -0.250858          0.00858347
253             6.29363           -0.303269          0.00491259
254              6.3572           -0.136719           0.0175165
255             6.42141            -0.24047          0.00598172
256             6.48628            -0.25838          0.00681429
257             6.55179            -0.03965            0.019561
258             6.61797           -0.207769           0.0122424
259             6.68482           -0.426613          0.00370162
260             6.75234           -0.398211          0.00367137
261             6.82055            -0.42949          0.00388823
262             6.88944           -0.410451          0.00349447
263             6.95903           -0.255432          0.00688366
264             7.02933           -0.204969           0.0115684
265             7.10033           -0.431654          0.00290268
266             7.17205           -0.432427          0.00362633
267              7.2445           -0.347763          0.00348718
268             7.31767           -0.212189           0.0106197
269             7.39159           -0.250341          0.00723841
270             7.46625           -0.359325          0.00518102
271             7.54167           -0.269177          0.00612652
272             7.61785           -0.219629          0.00416244
273              7.6948           -0.257003          0.00585806
274             7.77252           -0.331652          0.00611887
275             7.85103           -0.284378          0.00459669
276             7.93033            -0.34459          0.00689797
277             8.01044           -0.352373          0.00724927
278             8.09135           -0.352817          0.00602067
279             8.17308           -0.253532          0.00781403
280             8.25564           -0.279979          0.00645525
281             8.33903           -0.386019          0.00496212
282             8.42326            -0.42939          0.00246339
283             8.50835           -0.214454          0.00969722
284             8.59429           -0.239576           0.0049867
285              8.6811           -0.337586           0.0029821
286             8.76879            -0.43894          0.00284597
287             8.85736           -0.403608          0.00219652
288             8.94683           -0.295219          0.00932808
289              9.0372           -0.356315          0.00497868
290             9.12849           -0.380228          0.00421604
291             9.22069            -0.24341          0.00696277
292             9.31383           -0.210087           0.0128381
293             9.40791           -0.308588          0.00487439
294             9.50294            -0.27556          0.00447715
295             9.59893         -0.00411125           0.0117016
296             9.69589           -0.138941          0.00522095
297             9.79383           -0.386223          0.00502965
298             9.89275            -0.26737          0.00387455
299             9.99268          -0.0848693           0.0190261
300             10.0936           -0.162389           0.0143212
301             10.1956           -0.188811           0.0138636
302             10.2986           -0.312077          0.00367643
303             10.4026           -0.422903          0.00250015
304             10.5077            -0.43418          0.00212115
305             10.6138           -0.389199          0.00436087
306              10.721            -0.26323          0.00724898
307             10.8293            -0.26172          0.00494065
308             10.9387           -0.232793          0.00644089
309             11.0492           -0.184261          0.00540951
310             11.1608           -0.201862           0.0123366
311             11.2735           -0.240918          0.00923027
312             11.3874           -0.146036          0.00501752
313             11.5024           -0.173424          0.00447744
314             11.6186           -0.294584          0.00406049
315              11.736           -0.272731          0.00418275
316             11.8545           -0.408703             0.00319
317             11.9743           -0.249599          0.00481668
318             12.0952           -0.419266          0.00241008
319             12.2174             -0.2071           0.0044671
320             12.3408           -0.330936          0.00617781
321             12.4654           -0.421793          0.00316838
322             12.5914           -0.257569          0.00419281
323             12.7185           -0.360994           0.0034402
324              12.847           -0.292093          0.00341608
325             12.9768           -0.257535           0.0049125
326             13.1079           -0.254667          0.00704989
327             13.2403           -0.396483          0.00328561
328              13.374           -0.374567          0.00433501
329             13.5091           -0.349172          0.00403081
330             13.6455           -0.429761           0.0038486
331             13.7834           -0.283901          0.00459942
332             13.9226           -0.380815          0.00619102
333             14.0632           -0.423597          0.00295232
334             14.2053           -0.440101          0.00238915
335             14.3488           -0.414759          0.00261881
336             14.4937           -0.440587          0.00236744
337             14.6401           -0.280264           0.0103622
338              14.788           -0.393679          0.00399696
339             14.9374           -0.370782          0.00528235
340             15.0883           -0.363939          0.00444474
341             15.2407           -0.185361          0.00725711
342             15.3946           -0.246696          0.00412927
343             15.5501           -0.318275          0.00685452
344             15.7072           -0.355954          0.00350714
